Nome da rua;Freguesia;Código
Acesso a propriedade agrícola/florestal;ALDEIA DE SÃO FRANCISCO DE ASSIS;1
Acesso a propriedade privada agrícola/florestal;ALDEIA DE SÃO FRANCISCO DE ASSIS;2
Acesso às minas;ALDEIA DE SÃO FRANCISCO DE ASSIS;3
Avenida 25 de Abril;ALDEIA DE SÃO FRANCISCO DE ASSIS;4
Bairro dos Maquinistas;ALDEIA DE SÃO FRANCISCO DE ASSIS;5
Caminho de Santa Barbara;ALDEIA DE SÃO FRANCISCO DE ASSIS;6
CM 1374;ALDEIA DE SÃO FRANCISCO DE ASSIS;7
Estrada Municipal 1374;ALDEIA DE SÃO FRANCISCO DE ASSIS;8
Estrada Municipal 512;ALDEIA DE SÃO FRANCISCO DE ASSIS;9
Estrada Municipal 512-1;ALDEIA DE SÃO FRANCISCO DE ASSIS;10
Praceta Doutor Manuel Viegas;ALDEIA DE SÃO FRANCISCO DE ASSIS;11
Rampa do Cristo Operário;ALDEIA DE SÃO FRANCISCO DE ASSIS;12
Rua da Avesseira;ALDEIA DE SÃO FRANCISCO DE ASSIS;13
Rua da Barroquinha;ALDEIA DE SÃO FRANCISCO DE ASSIS;14
Rua da Casa da Vinha;ALDEIA DE SÃO FRANCISCO DE ASSIS;15
Rua da Eira;ALDEIA DE SÃO FRANCISCO DE ASSIS;16
Rua da Galiza;ALDEIA DE SÃO FRANCISCO DE ASSIS;17
Rua da Lomba;ALDEIA DE SÃO FRANCISCO DE ASSIS;18
Rua da Malhada;ALDEIA DE SÃO FRANCISCO DE ASSIS;19
Rua da Ribeira;ALDEIA DE SÃO FRANCISCO DE ASSIS;20
Rua Director George Smith;ALDEIA DE SÃO FRANCISCO DE ASSIS;21
Rua Direita;ALDEIA DE SÃO FRANCISCO DE ASSIS;22
Rua do Barraco;ALDEIA DE SÃO FRANCISCO DE ASSIS;23
Rua do Casarão;ALDEIA DE SÃO FRANCISCO DE ASSIS;24
Rua do Clube Desportivo;ALDEIA DE SÃO FRANCISCO DE ASSIS;25
Rua do Penedo;ALDEIA DE SÃO FRANCISCO DE ASSIS;26
Rua do Quebra Costa;ALDEIA DE SÃO FRANCISCO DE ASSIS;27
Rua do Sodinho;ALDEIA DE SÃO FRANCISCO DE ASSIS;28
Rua dos Capatazes;ALDEIA DE SÃO FRANCISCO DE ASSIS;29
Rua dos Engenheiros;ALDEIA DE SÃO FRANCISCO DE ASSIS;30
Rua dos Mineiros;ALDEIA DE SÃO FRANCISCO DE ASSIS;31
Rua dos Vigilantes;ALDEIA DE SÃO FRANCISCO DE ASSIS;32
Rua Engenheiro António Cláudio dos Reis;ALDEIA DE SÃO FRANCISCO DE ASSIS;33
Rua Engenheiro Manuel Silva Daniel;ALDEIA DE SÃO FRANCISCO DE ASSIS;34
